INFO | 2016-11-25 10:58:16,856 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:59:48,756 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 10:59:57,047 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:00:55,863 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:03:54,700 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:05:28,199 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:06:00,606 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:06:25,896 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:06:44,030 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:10:16,185 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:10:20,645 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:11:39,550 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:12:10,192 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:12:16,805 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 11:14:38,570 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:14:48,220 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:15:05,309 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:15:13,804 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:15:33,093 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 11:15:44,870 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 11:17:03,840 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 11:31:48,323 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 11:32:04,971 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 11:33:33,852 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 11:33:39,086 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 11:33:40,387 | index | root | Someone visited the Home page /
INFO | 2016-11-25 11:33:40,683 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:33:41,026 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:43:59,264 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:44:02,579 | index | root | Someone visited the Home page /
INFO | 2016-11-25 11:44:03,139 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 11:44:03,873 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 11:44:35,972 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 11:44:42,578 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 11:44:44,896 | index | root | Someone visited the Home page /
INFO | 2016-11-25 11:44:52,368 | index | root | Someone visited the Home page /
INFO | 2016-11-25 11:44:53,401 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:44:54,278 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 11:45:01,734 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 12:09:37,348 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 12:09:50,227 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 12:14:25,801 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 12:15:07,461 | index | root | Someone visited the Home page /
INFO | 2016-11-25 12:15:07,741 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 12:15:08,069 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 12:15:19,240 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 12:15:27,409 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 12:20:48,267 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 12:21:24,568 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 12:22:30,985 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 12:22:54,543 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:03:55,685 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:09:24,591 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:14:52,056 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:14:56,233 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:15:11,052 | index | root | Someone visited the Home page /
INFO | 2016-11-25 13:37:12,529 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:39:29,011 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:42:58,361 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:43:46,295 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:45:10,079 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:45:44,053 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:46:27,282 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:47:18,427 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:57:33,713 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:59:19,594 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:59:22,104 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:59:23,864 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:59:38,700 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 13:59:40,306 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:00:17,735 | index | root | Someone visited the Home page /
INFO | 2016-11-25 14:00:25,642 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:00:29,611 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:04:34,738 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:05:12,737 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:05:53,664 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:07:20,525 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:07:22,423 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:07:23,722 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:07:27,823 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:07:29,104 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:07:43,278 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:07:46,825 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:07:49,466 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:08:13,486 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:08:16,217 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:08:22,927 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:08:26,190 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:08:40,812 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:08:46,218 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:08:49,374 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:08:51,186 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:08:55,134 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:08:56,175 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:10:35,523 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 14:10:40,076 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 14:10:40,798 | index | root | Someone visited the Home page /
INFO | 2016-11-25 14:11:03,011 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:11:17,522 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:11:19,552 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:11:39,536 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:11:41,834 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:11:45,426 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:11:57,927 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:12:23,546 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:12:30,519 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:12:44,340 | index | root | Someone visited the Home page /
INFO | 2016-11-25 14:12:50,834 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 14:12:57,715 | index | profile | Someone visited the Personal Profile page /myprofile
INFO | 2016-11-25 14:13:00,425 | index | profile | Someone visited the Personal Profile page /myprofile
